gene_name gene zscore effect_size pvalue var_g pred_perf_r2 pred_perf_pval pred_perf_qval n_snps_used n_snps_in_cov n_snps_in_model tissue ENSG CHR START_POS END_POS arm_vector
SMDT1 ENSG00000183172 -5.19843187965976 -0.0710776019888068 2.00976749082301e-07 0.158802088560674 0.616461256704095 5.908135789147e-45 1.79735765724615e-42 21 27 27 Brain_Cerebellum ENSG00000183172 22 42475695 42480288 22q13.2
SMDT1 ENSG00000183172 -5.47184433921215 -0.0982482197768822 4.45375954916929e-08 0.0915170584218488 0.221787172819303 1.77767084184678e-08 5.89847842014395e-07 13 14 14 Brain_Amygdala ENSG00000183172 22 42475695 42480288 22q13.2
SMDT1 ENSG00000183172 -5.06300984057161 -0.144383550962167 4.12688542350599e-07 0.0363795984122557 0.182217751100969 6.44331213241068e-09 1.02733908434583e-07 7 10 10 Brain_Putamen_basal_ganglia ENSG00000183172 22 42475695 42480288 22q13.2
SMDT1 ENSG00000183172 -5.73220317509478 -0.165830013601569 9.9134420663494e-09 0.0351815368732198 0.157804893133999 4.11239165084196e-06 6.66150020710474e-05 10 15 15 Brain_Spinal_cord_cervical_c-1 ENSG00000183172 22 42475695 42480288 22q13.2
TNFRSF13C ENSG00000159958 5.76111526524594 0.138221115093517 8.35599489960078e-09 0.056479438751158 0.0379875782790742 0.0108665149608549 0.0624854042846559 15 16 16 Brain_Hypothalamus ENSG00000159958 22 42318027 42322822 22q13.2
TNFRSF13C ENSG00000159958 6.94354458421173 0.19987516744973 3.82381853433707e-12 0.0391975678117549 0.0643472537727483 0.000844492583379761 0.00527983313210005 8 8 8 Brain_Putamen_basal_ganglia ENSG00000159958 22 42318027 42322822 22q13.2
TNFRSF13C ENSG00000159958 5.51172217409536 0.106599055551179 3.55339512631155e-08 0.0862095362420315 0.104577177550834 2.67417464831003e-06 2.36363625837754e-05 15 15 15 Brain_Nucleus_accumbens_basal_ganglia ENSG00000159958 22 42318027 42322822 22q13.2
TNFRSF13C ENSG00000159958 4.82227961152925 0.19056622476369 1.41926803574573e-06 0.0209256247249058 0.0590444151979011 0.00119475717708994 0.00698834139131049 4 5 5 Brain_Frontal_Cortex_BA9 ENSG00000159958 22 42318027 42322822 22q13.2
TNFRSF13C ENSG00000159958 5.4768782916192 0.254663662458399 4.32894743567843e-08 0.0153627882834357 0.0223834844056224 0.03226823515853 0.104936740575176 8 9 9 Brain_Cortex ENSG00000159958 22 42318027 42322822 22q13.2
WBP2NL ENSG00000183066 -7.32749708805677 -0.178008804698377 2.34490763682592e-13 0.0517537536013809 0.081338451168945 0.00105279898316206 0.0116149887419407 5 5 5 Brain_Amygdala ENSG00000183066 22 42394729 42454460 22q13.2
WBP2NL ENSG00000183066 -5.51753625733719 -0.0967043355360993 3.43785172341332e-08 0.0993425045844176 0.184204280196647 3.0978204921499e-09 4.7005764907793e-08 18 20 20 Brain_Frontal_Cortex_BA9 ENSG00000183066 22 42394729 42454460 22q13.2
WBP2NL ENSG00000183066 -5.0961496721278 -0.0899629561758162 3.46631112222897e-07 0.101222190953594 0.18245447818138 2.3032677085976e-10 3.50240541396697e-09 16 17 17 Brain_Nucleus_accumbens_basal_ganglia ENSG00000183066 22 42394729 42454460 22q13.2
WBP2NL ENSG00000183066 -6.44378024065221 -0.280004660800552 1.16533788635014e-10 0.0171376005727951 0.0449900915077453 0.0171078100418194 0.0999471386886373 9 10 10 Brain_Spinal_cord_cervical_c-1 ENSG00000183066 22 42394729 42454460 22q13.2
WBP2NL ENSG00000183066 -5.69609604093784 -0.0691072346519701 1.22581842821059e-08 0.210371312780012 0.298644175062671 8.06826931530181e-13 3.03094567254868e-11 19 19 19 Brain_Anterior_cingulate_cortex_BA24 ENSG00000183066 22 42394729 42454460 22q13.2
WBP2NL ENSG00000183066 -6.77472688712648 -0.165700601527944 1.24641488453147e-11 0.0512649583435666 0.101787019155605 5.78604367182222e-06 4.62396341197825e-05 9 10 10 Brain_Caudate_basal_ganglia ENSG00000183066 22 42394729 42454460 22q13.2
ZC3H7B ENSG00000100403 -5.50424540800468 -0.172409976493356 3.70752804860948e-08 0.034623126698809 0.0520823566362084 0.00238500926326113 0.0129136083538017 4 5 5 Brain_Frontal_Cortex_BA9 ENSG00000100403 22 41697529 41756151 22q13.2
ZC3H7B ENSG00000100403 -5.00236450815269 -0.174719401874008 5.66313826616385e-07 0.0278916882658358 0.0466537584297045 0.00186793066131553 0.00828240849721637 7 7 7 Brain_Cortex ENSG00000100403 22 41697529 41756151 22q13.2
ZC3H7B ENSG00000100403 -5.24267119484729 -0.150902624326842 1.58268430620913e-07 0.0404628841518481 0.050079479044768 0.00335096146712601 0.0230677405794699 15 20 20 Brain_Hypothalamus ENSG00000100403 22 41697529 41756151 22q13.2
NUP50 ENSG00000093000 4.75619299048684 0.117664976512709 1.97277883671102e-06 0.0467866077684505 0.119086492642988 6.20029746667395e-05 0.000984902626976151 8 8 8 Brain_Amygdala ENSG00000093000 22 45559806 45583898 22q13.31
NUP50 ENSG00000093000 4.90936224591552 0.0885862259242227 9.13730577737649e-07 0.0878784828130318 0.173789063443894 1.55906384559872e-08 3.18872114085365e-07 5 5 5 Brain_Hypothalamus ENSG00000093000 22 45559806 45583898 22q13.31
NUP50 ENSG00000093000 5.04709792816255 0.0853454002524654 4.48571460594254e-07 0.104499959098905 0.194100847143268 5.32629941234805e-11 8.62547435384036e-10 11 11 11 Brain_Nucleus_accumbens_basal_ganglia ENSG00000093000 22 45559806 45583898 22q13.31
Z98885.2 ENSG00000260613 5.03352019029 0.0752591282798889 4.81554071634973e-07 0.140431853294603 0.239814345328356 6.08640304723756e-12 8.1502826869976e-11 17 17 17 Brain_Cerebellar_Hemisphere ENSG00000260613 22 50226097 50232549 22q13.33
ZBED4 ENSG00000100426 4.75999052272314 0.138897952740617 1.93602049922718e-06 0.0388386533787212 0.126428808600767 1.37385100803555e-06 9.43601969648774e-06 11 13 13 Brain_Cerebellar_Hemisphere ENSG00000100426 22 50247492 50283728 22q13.33
ALMS1 ENSG00000116127 5.33909043978301 0.184258064973719 9.34140396356879e-08 0.0285674079826684 0.039309425684994 0.0095480276412124 0.0560119661506347 8 8 8 Brain_Hypothalamus ENSG00000116127 2 73612886 73852293 2p13.1
ALMS1 ENSG00000116127 5.62428442655715 0.176530194863196 1.8627851284941e-08 0.0333168486798404 0.0314962198491081 0.0115112113523355 0.0479096113111813 9 10 10 Brain_Nucleus_accumbens_basal_ganglia ENSG00000116127 2 73612886 73852293 2p13.1
ENSR00000119069 ENSR00000119069 -6.70134331080373 -0.0836504282679607 2.06512218306823e-11 0.198256077197634 0.178069518459983 1.58377320164411e-06 8.11487754307749e-06 16 30 30 Brain_Cerebellum ENSR00000119069 2 73943328 73944527 2p13.1
ENSR00000119070 ENSR00000119070 -5.50275725264463 -0.0809843373124442 3.73897072173644e-08 0.143107668467132 0.175654863816537 1.8948987146072e-06 9.5875457823403e-06 12 26 26 Brain_Cerebellum ENSR00000119070 2 73944928 73945127 2p13.1
ENSR00000291572 ENSR00000291572 -4.84037825629713 -0.252369689913934 1.29592226732323e-06 0.0122132219251732 0.039168049456469 0.0302520798669745 0.034182208146636 15 18 18 Brain_Cerebellum ENSR00000291572 2 73846928 73847527 2p13.1
ENSR00000291575 ENSR00000291575 -5.34598806693434 -0.125248505739711 8.9925132905167e-08 0.0583782944926323 0.15562572443865 8.25618662836709e-06 3.65177485485467e-05 21 25 25 Brain_Cerebellum ENSR00000291575 2 73857528 73858327 2p13.1
ENSR00000291586 ENSR00000291586 -6.61175589710621 -0.153921418548125 3.79787897150843e-11 0.0569749840382341 0.0848408962138482 0.00124815958460417 0.00274860674481982 13 25 25 Brain_Cerebellum ENSR00000291586 2 73939928 73942327 2p13.1
ENSR00000291587 ENSR00000291587 -5.45347626351786 -0.0968962405731047 4.93945420367696e-08 0.097668803983117 0.125546910429952 0.000117948286297647 0.000324240308945723 20 22 22 Brain_Cau ENSR00000291587 2 73948528 73949727 2p13.1
ENSR00000291587 ENSR00000291587 -5.25585349833036 -0.0505670182968198 1.47339546973451e-07 0.362545800897002 0.442043415589828 2.52884144453098e-14 7.09494929934547e-13 46 72 72 Brain_Cer ENSR00000291587 2 73948528 73949727 2p13.1
ENSR00000291587 ENSR00000291587 -4.8929152896284 -0.0562468823866518 9.93531772770375e-07 0.235604343967212 0.121733813919836 0.00020063298260244 0.000473456337449683 21 23 23 Brain_Cortex ENSR00000291587 2 73948528 73949727 2p13.1
NAT8 ENSG00000144035 -4.97822355451476 -0.109267077363319 6.417051362503e-07 0.0670945496062863 0.0880214566684542 1.56346974050615e-05 0.000101194862102974 10 11 11 Brain_Cortex ENSG00000144035 2 73867850 73869549 2p13.1
NAT8 ENSG00000144035 -6.10291725190239 -0.265216390952536 1.04149769622234e-09 0.0175933251118554 0.0381670078092106 0.0063358773354297 0.0276212506301551 14 14 14 Brain_Caudate_basal_ganglia ENSG00000144035 2 73867850 73869549 2p13.1
NAT8 ENSG00000144035 -5.24759167310253 -0.12971314068553 1.54100374362595e-07 0.0536926555313087 0.0963717912709016 2.90165678140233e-05 0.000163927022740301 9 9 9 Brain_Cerebellar_Hemisphere ENSG00000144035 2 73867850 73869549 2p13.1
NAT8 ENSG00000144035 -5.45497395404664 -0.104628920156524 4.89800243363608e-08 0.0884987089670276 0.15647212840405 3.06859588940748e-09 2.25219917183749e-08 11 11 11 Brain_Cerebellum ENSG00000144035 2 73867850 73869549 2p13.1
SPTBN1 ENSG00000115306 5.15654768545762 0.164460156166665 2.51544445188326e-07 0.0288421747147158 0.0356629118261111 0.0341952215373632 0.176338904840737 8 10 10 Brain_Spinal_cord_cervical_c-1 ENSG00000115306 2 54683454 54898583 2p16.2
ENSR00000116922 ENSR00000116922 4.99738334108237 0.0392946517939145 5.81134730368061e-07 0.588283811537688 0.422840387873055 9.19690280576344e-16 3.80751776158606e-14 9 9 9 Brain_Cerebellum ENSR00000116922 2 48577278 48577614 2p16.3
ENSR00000116923 ENSR00000116923 4.94532934225693 0.0242460533357611 7.60152389732831e-07 1.51201719206582 0.495861613637758 2.91225177557732e-19 3.01418058772253e-17 9 10 10 Brain_Cerebellum ENSR00000116923 2 48579541 48581738 2p16.3
FOXN2 ENSG00000170802 4.55277964730374 0.0874766882325879 5.29417172647907e-06 0.0972574731682125 0.207685154899172 6.62623379831178e-09 1.47163533681605e-07 13 13 13 Brain_Anterior_cingulate_cortex_BA24 ENSG00000170802 2 48541776 48606434 2p16.3
FOXN2 ENSG00000170802 5.14143971617158 0.0639041554355742 2.72641134614202e-07 0.240232627307013 0.370326455715819 1.33598883481334e-18 7.75369748616096e-17 12 13 13 Brain_Putamen_basal_ganglia ENSG00000170802 2 48541776 48606434 2p16.3
FOXN2 ENSG00000170802 5.15679646973227 0.0676668705905427 2.51210601806111e-07 0.216246159011458 0.404703303432242 2.1248856237242e-23 1.3446018665033e-21 5 5 5 Brain_Caudate_basal_ganglia ENSG00000170802 2 48541776 48606434 2p16.3
FOXN2 ENSG00000170802 4.83585111677014 0.0756810161467194 1.32577128018067e-06 0.149461963603358 0.276613841462355 9.15190934406302e-16 2.49520611660593e-14 31 32 32 Brain_Nucleus_accumbens_basal_ganglia ENSG00000170802 2 48541776 48606434 2p16.3
FOXN2 ENSG00000170802 5.04684921158211 0.0833027371334589 4.49155554739796e-07 0.13508991041182 0.316708898111637 1.37988976836534e-15 7.09323481413951e-14 9 10 10 Brain_Hypothalamus ENSG00000170802 2 48541776 48606434 2p16.3
FOXN2 ENSG00000170802 5.05793594747268 0.122530923676287 4.23818730158043e-07 0.0585016622700301 0.10922244631139 0.000329137828972993 0.00472285203193928 15 16 16 Brain_Substantia_nigra ENSG00000170802 2 48541776 48606434 2p16.3
FOXN2 ENSG00000170802 5.20747552800986 0.0535709900020341 1.91427074325645e-07 0.350033977317116 0.553706268284526 3.98905251038638e-32 8.11733077505683e-30 5 6 6 Brain_Cerebellar_Hemisphere ENSG00000170802 2 48541776 48606434 2p16.3
FOXN2 ENSG00000170802 5.12422982214362 0.0481262655519472 2.98756400444753e-07 0.415144017851688 0.668908426423455 1.39429831498423e-51 1.54040610157021e-48 14 15 15 Brain_Cerebellum ENSG00000170802 2 48541776 48606434 2p16.3
FOXN2 ENSG00000170802 4.74000697300746 0.0713842533880531 2.13710864027966e-06 0.159734723398723 0.227031735046359 1.7032998173466e-08 4.31528062811771e-07 15 17 17 Brain_Spinal_cord_cervical_c-1 ENSG00000170802 2 48541776 48606434 2p16.3
FOXN2 ENSG00000170802 5.16360032038016 0.083724092238313 2.42244655814085e-07 0.140267498454141 0.334956682273094 4.91493731750403e-17 2.10133713509025e-15 7 7 7 Brain_Frontal_Cortex_BA9 ENSG00000170802 2 48541776 48606434 2p16.3
FOXN2 ENSG00000170802 4.71309932007783 0.0710766178234105 2.43977204180404e-06 0.154584930080995 0.279528403738294 2.89201745791116e-13 1.25172748900769e-11 16 17 17 Brain_Hippocampus ENSG00000170802 2 48541776 48606434 2p16.3
FOXN2 ENSG00000170802 5.21529900157916 0.0760727823978732 1.8352096375501e-07 0.169382005968618 0.432894025889602 2.42306555960034e-17 3.74190552846853e-15 10 11 11 Brain_Amygdala ENSG00000170802 2 48541776 48606434 2p16.3
STON1 ENSG00000243244 -4.74510517560805 -0.0764454023648527 2.0839802486353e-06 0.105428702153429 0.167678404204211 2.60477204882809e-07 4.5005155791897e-06 12 12 12 Brain_Anterior_cingulate_cortex_BA24 ENSG00000243244 2 48756522 48825652 2p16.3
THUMPD2 ENSG00000138050 -4.82062030085051 -0.122731154133109 1.43112522272394e-06 0.0465392500801665 0.0348276239279992 0.0163906726389761 0.0882166383613284 21 23 23 Brain_Hippocampus ENSG00000138050 2 39963200 40006407 2p22.1
CEBPZ ENSG00000115816 -5.12731642676217 -0.156954146728013 2.93901319208476e-07 0.0310111907284675 0.0652964916390277 0.000770563538695561 0.00642287551099598 7 7 7 Brain_Hypothalamus ENSG00000115816 2 37428755 37458739 2p22.2
CEBPZ ENSG00000115816 -5.92036025061893 -0.107773538891322 3.21237164591306e-09 0.080835178510071 0.122973873741778 5.36163590157649e-07 5.0524224231372e-06 11 11 11 Brain_Caudate_basal_ganglia ENSG00000115816 2 37428755 37458739 2p22.2
CEBPZ ENSG00000115816 -5.29967710040226 -0.325471630520959 1.16007661621772e-07 0.00768413409612979 0.0214888920372855 0.0341763221043167 0.0905344746708369 5 7 7 Brain_Cerebellum ENSG00000115816 2 37428755 37458739 2p22.2
CEBPZ ENSG00000115816 -4.94941218481165 -0.109700797321862 7.44379537868845e-07 0.0564405288466408 0.106083922131042 0.000197960395357523 0.00215506415801099 10 11 11 Brain_Spinal_cord_cervical_c-1 ENSG00000115816 2 37428755 37458739 2p22.2
CEBPZOS ENSG00000218739 -4.64811527634783 -0.0564359855121589 3.34981701060045e-06 0.203870819807992 0.347597579972193 3.95336158098972e-15 2.22365846100288e-13 17 18 18 Brain_Anterior_cingulate_cortex_BA24 ENSG00000218739 2 37423631 37443336 2p22.2
CEBPZOS ENSG00000218739 -4.67867933590541 -0.104148250363693 2.88728573947591e-06 0.0544377864298614 0.183557049619526 3.32330762498431e-09 3.23084651354446e-08 7 7 7 Brain_Cerebellar_Hemisphere ENSG00000218739 2 37423631 37443336 2p22.2
CEBPZOS ENSG00000218739 -4.96552096144748 -0.0945357198934694 6.85168916153275e-07 0.0736027228728822 0.159578685503006 6.79752413623684e-08 1.23766241348463e-06 6 6 6 Brain_Hypothalamus ENSG00000218739 2 37423631 37443336 2p22.2
NDUFAF7 ENSG00000003509 6.07341075605378 0.112949219380398 1.25221604184857e-09 0.0779138705652002 0.176476933759732 2.41722199062237e-10 2.0007849686575e-09 11 11 11 Brain_Cerebellum ENSG00000003509 2 37458774 37480546 2p22.2
NDUFAF7 ENSG00000003509 5.83009212457993 0.219991766638341 5.53967842178024e-09 0.0186589410252667 0.074673155273412 7.36000888595079e-05 0.00042556702440247 3 3 3 Brain_Cortex ENSG00000003509 2 37458774 37480546 2p22.2
NDUFAF7 ENSG00000003509 6.5210860283109 0.138633979630161 6.98001341160805e-11 0.0585180006596144 0.113287088977025 5.25765560961753e-06 3.31765036560094e-05 6 6 6 Brain_Cerebellar_Hemisphere ENSG00000003509 2 37458774 37480546 2p22.2
QPCT ENSG00000115828 -5.49573268540551 -0.227668112685985 3.89091524986276e-08 0.0177320301043779 0.0255843246643434 0.0229730131156338 0.0880574792475372 13 13 13 Brain_Nucleus_accumbens_basal_ganglia ENSG00000115828 2 37569970 37600465 2p22.2
DPYSL5 ENSG00000157851 -4.99584467353932 -0.122400345752058 5.85787965060577e-07 0.048132885815333 0.0798600584173691 3.3870504764389e-05 0.000152963804971878 6 6 6 Brain_Cerebellum ENSG00000157851 2 27070615 27173219 2p23.3
DPYSL5 ENSG00000157851 -4.57697379267864 -0.0777842605170375 4.71750532707386e-06 0.101020214389467 0.251742915789664 1.29435355199431e-08 5.30865804119343e-07 10 10 10 Brain_Substantia_nigra ENSG00000157851 2 27070615 27173219 2p23.3
RNF144A-AS1 ENSG00000228203 -4.61864752010224 -0.133479513049352 3.86249333207134e-06 0.0379102934435537 0.147920680321666 6.79251848780109e-06 0.000134663645966165 16 17 17 Brain_Amygdala ENSG00000228203 2 7051885 7058865 2p25.2
ACTR1B ENSG00000115073 4.74997124364088 0.0880432461658179 2.03445576552932e-06 0.104405044797786 0.0560027554505136 0.000634934685257279 0.00311095769357679 18 20 20 Brain_Cortex ENSG00000115073 2 98272402 98280507 2q11.2
ACTR1B ENSG00000115073 5.37939111675756 0.0497604752680585 7.47381803910691e-08 0.463658794092206 0.449430663830845 1.22640346835515e-28 5.50073401800064e-27 15 15 15 Brain_Cerebellum ENSG00000115073 2 98272402 98280507 2q11.2
ACTR1B ENSG00000115073 5.68592906572655 0.0808890546651315 1.30103393181644e-08 0.19486712088881 0.388167880216132 3.37010093259221e-20 1.2207646589334e-18 7 8 8 Brain_Cerebellar_Hemisphere ENSG00000115073 2 98272402 98280507 2q11.2
ACTR1B ENSG00000115073 5.76158151119163 0.350422631051633 8.33294030348913e-09 0.0108719781574606 0.0483968523190637 0.00394416267593393 0.0264982827879991 2 3 3 Brain_Hypothalamus ENSG00000115073 2 98272402 98280507 2q11.2
CIAO1 ENSG00000144021 4.8158135555648 0.197613737575423 1.46601359522235e-06 0.020326314842914 0.0303231753051854 0.0151683276055026 0.0593822679149054 9 12 12 Brain_Caudate_basal_ganglia ENSG00000144021 2 96931897 96939911 2q11.2
ENSR00000128481 ENSR00000128481 -4.68524048498765 -0.182068223750927 2.79631406564533e-06 0.0167736104571216 0.279691308543584 1.72921325885288e-09 1.12208086998004e-08 9 45 45 Brain_Cau ENSR00000128481 2 198748085 198748459 2q33.1
ENSR00000128481 ENSR00000128481 -6.30072798141418 -0.337378508522639 2.96250912229964e-10 0.00970609535215596 0.354413316461666 1.69078793356619e-11 1.85526278614331e-10 9 51 51 Brain_Fro ENSR00000128481 2 198748085 198748459 2q33.1
ENSR00000128482 ENSR00000128482 -4.99860941447362 -0.147929199732313 5.77452371626389e-07 0.0366035152726008 0.34318105045232 4.20989178403407e-11 4.18034868379523e-10 17 77 77 Brain_Fro ENSR00000128482 2 198753126 198754524 2q33.1
ENSR00000128482 ENSR00000128482 -4.90861798773783 -0.155943382346947 9.17204417227756e-07 0.0259161634941276 0.203915487810358 0.000259309775822124 0.000913101444650245 5 36 36 Brain_Sub ENSR00000128482 2 198753126 198754524 2q33.1
ENSR00000128482 ENSR00000128482 -5.00094786176569 -0.324193006197527 5.70491403127755e-07 0.0064072733395241 0.186846311796648 0.000149603110922183 0.000532111064984583 6 25 25 Brain_Amy ENSR00000128482 2 198753126 198754524 2q33.1
ENSR00000128482 ENSR00000128482 -4.99813391359556 -0.91612995076235 5.78877801216401e-07 0.000778152665824011 0.365273466354484 8.86920399938205e-11 1.68145325821618e-09 7 76 76 Brain_Hypo ENSR00000128482 2 198753126 198754524 2q33.1
ENSR00000128680 ENSR00000128680 -6.2457907508171 -0.00927138560065439 4.21661365775211e-10 11.7124679911345 0.0950025801505196 0.00237536844189522 0.00422184625414971 28 37 37 Brain_Hypo ENSR00000128680 2 201261724 201261923 2q33.1
ENSR00000128681 ENSR00000128681 -6.24118587450475 -0.0070344463532082 4.34265825484831e-10 20.8054282067439 0.0878797536013924 0.00353404750175595 0.00578414249388114 46 61 61 Brain_Hypo ENSR00000128681 2 201262438 201262973 2q33.1
ENSR00000295531 ENSR00000295531 -5.22212761612655 -0.0899108272735272 1.76878999894361e-07 0.0945185803107693 0.200950494667193 0.000203445317497147 0.000675909236643414 22 30 30 Brain_Spi ENSR00000295531 2 200672724 200673123 2q33.1
ENSR00000295538 ENSR00000295538 4.93687074098008 0.127715741666225 7.93860484929615e-07 0.0434770350466003 0.0497277481780912 0.0143590405611761 0.019339561807163 18 22 22 Brain_Cerebellum ENSR00000295538 2 200909724 200911323 2q33.1
FTCDNL1 ENSG00000226124 4.51867384064165 0.0550295774490378 6.22281688775986e-06 0.192168662533431 0.217067618810418 3.84858024227406e-08 9.05956656805889e-07 27 30 30 Brain_Spinal_cord_cervical_c-1 ENSG00000226124 2 200625267 200715896 2q33.1
SF3B1 ENSG00000115524 -6.51590969101199 -0.204673637298399 7.22504362905399e-11 0.0298509012172707 0.0572534783131365 0.00142712254737576 0.00592427111866627 7 8 8 Brain_Cerebellar_Hemisphere ENSG00000115524 2 198253239 198299815 2q33.1
SF3B1 ENSG00000115524 -4.70198735399759 -0.136351502294298 2.57641460513164e-06 0.0343653759356671 0.0496699555519696 0.0017871031106715 0.00892568456279411 21 23 23 Brain_Caudate_basal_ganglia ENSG00000115524 2 198253239 198299815 2q33.1
SF3B1 ENSG00000115524 -6.89198419499952 -0.175160727243779 5.50194879152235e-12 0.0428647391828945 0.103931067194458 1.93205269365173e-06 1.03776146602977e-05 14 15 15 Brain_Cerebellum ENSG00000115524 2 198253239 198299815 2q33.1
TYW5 ENSG00000162971 6.18800199504139 0.203658630098692 6.09315576135989e-10 0.0270189558432739 0.0851953249565523 2.49964681005344e-05 0.000185669047732206 4 5 5 Brain_Nucleus_accumbens_basal_ganglia ENSG00000162971 2 200793636 200820459 2q33.1
TYW5 ENSG00000162971 5.97235349524522 0.172521796387176 2.338551249093e-09 0.0360737249317942 0.102980997517198 1.98443128911812e-05 0.000173857285995355 7 7 7 Brain_Putamen_basal_ganglia ENSG00000162971 2 200793636 200820459 2q33.1
TYW5 ENSG00000162971 5.3155870067781 0.105491980437368 1.06314034191986e-07 0.0756256165627323 0.125049972212606 1.58265271012307e-06 1.58905034379248e-05 13 14 14 Brain_Frontal_Cortex_BA9 ENSG00000162971 2 200793636 200820459 2q33.1
TYW5 ENSG00000162971 4.74998474075526 0.141553735248091 2.03431998366548e-06 0.0348718128131495 0.0664211107188022 0.00319156645684531 0.0294481506995264 11 12 12 Brain_Amygdala ENSG00000162971 2 200793636 200820459 2q33.1
TYW5 ENSG00000162971 5.71187146259081 0.071808840312179 1.11740475863469e-08 0.186125602824831 0.308898761930853 1.42019746107544e-15 2.95071256277095e-14 19 20 20 Brain_Cerebellar_Hemisphere ENSG00000162971 2 200793636 200820459 2q33.1
TYW5 ENSG00000162971 4.83373883940538 0.0998137466727326 1.33992346208155e-06 0.0714577139641442 0.108834260804719 1.36195788716849e-06 1.04702694401693e-05 10 10 10 Brain_Cortex ENSG00000162971 2 200793636 200820459 2q33.1
TYW5 ENSG00000162971 5.24296341354026 0.151800515592224 1.58017881466254e-07 0.0357105569912571 0.0665945631878494 0.000818396936959698 0.00665447998643356 6 7 7 Brain_Hippocampus ENSG00000162971 2 200793636 200820459 2q33.1
ABCB6 ENSG00000115657 4.55833324984707 0.14895625245073 5.15611783375e-06 0.0294132046885673 0.0450787727913757 0.00202666889367887 0.00693089063981968 8 8 8 Brain_Cerebellum ENSG00000115657 2 220074494 220083716 2q35
CUL3 ENSG00000036257 5.21916082103259 0.16287817352656 1.79735645533238e-07 0.0281715059464582 0.067786462324568 0.000163116899082569 0.000892995905146944 7 7 7 Brain_Cortex ENSG00000036257 2 225334867 225450114 2q36.2
CUL3 ENSG00000036257 4.5622190993736 0.0750518596933747 5.06157869701615e-06 0.120797115119435 0.0728893772481082 0.0036727641564965 0.0351340586069321 28 28 28 Brain_Substantia_nigra ENSG00000036257 2 225334867 225450114 2q36.2
CUL3 ENSG00000036257 4.97277020427047 0.0781675705483414 6.60028815772484e-07 0.115069855088094 0.0915791476207415 7.79168207359655e-05 0.000809765858324004 42 45 45 Brain_Hippocampus ENSG00000036257 2 225334867 225450114 2q36.2
NGEF ENSG00000066248 5.8376000724874 0.171956982261614 5.2958087136321e-09 0.0326594970757868 0.0581213596787125 0.00653964334669018 0.0448828828273984 18 19 19 Brain_Spinal_cord_cervical_c-1 ENSG00000066248 2 233743411 233877966 2q37.1
ZNF717 ENSG00000227124 4.96679365600936 0.270936078822168 6.80689476550678e-07 0.0113400548789558 0.119213356840869 4.00345521673082e-06 5.47990678602161e-05 13 19 19 Brain_Hypothalamus ENSG00000227124 3 75727811 75834734 3p12.3
THOC7 ENSG00000163634 5.1209219235272 0.075957286709696 3.04045521370197e-07 0.126816896195694 0.235575150534513 9.46270723575517e-14 1.07717834916343e-12 17 17 17 Brain_Cerebellum ENSG00000163634 3 63819546 63849544 3p14.1
THOC7 ENSG00000163634 4.79714235220326 0.0667117706557721 1.60945225356294e-06 0.136773038697255 0.181827921235794 4.00855781739078e-09 5.97816656912374e-08 39 44 44 Brain_Frontal_Cortex_BA9 ENSG00000163634 3 63819546 63849544 3p14.1
THOC7 ENSG00000163634 6.95123513944411 0.114470536747884 3.62101731628248e-12 0.106368623088512 0.207471703099213 6.7601816248981e-09 1.49496794288211e-07 21 22 22 Brain_Anterior_cingulate_cortex_BA24 ENSG00000163634 3 63819546 63849544 3p14.1
THOC7 ENSG00000163634 5.04366595415758 0.147930137460822 4.566963112617e-07 0.0331097619902165 0.145548093481698 4.05464716624582e-08 4.50847402159453e-07 9 10 10 Brain_Caudate_basal_ganglia ENSG00000163634 3 63819546 63849544 3p14.1
THOC7 ENSG00000163634 5.34503689153699 0.085958409506101 9.03986399980287e-08 0.108777594562954 0.224067351374049 1.35507671641286e-10 3.94834765546666e-09 25 30 30 Brain_Hippocampus ENSG00000163634 3 63819546 63849544 3p14.1
THOC7 ENSG00000163634 4.58959568810835 0.0699134659732027 4.44105378893783e-06 0.114677307988657 0.137527345742199 4.40767168916017e-08 4.20250077719881e-07 36 38 38 Brain_Cortex ENSG00000163634 3 63819546 63849544 3p14.1
THOC7 ENSG00000163634 4.9989103626512 0.0869971795936712 5.76551955367305e-07 0.0946812267496371 0.0833839740383643 0.000106413246637827 0.000547524379577278 29 32 32 Brain_Cerebellar_Hemisphere ENSG00000163634 3 63819546 63849544 3p14.1
THOC7 ENSG00000163634 5.685788567056 0.143449441585277 1.30210412258892e-08 0.0445604673624144 0.087991496404008 8.57011244527648e-05 0.00066191898897681 11 11 11 Brain_Putamen_basal_ganglia ENSG00000163634 3 63819546 63849544 3p14.1
THOC7 ENSG00000163634 5.07146556978782 0.0666442816101958 3.94763693307289e-07 0.161428458045382 0.196309070646521 4.02642361479658e-11 6.62808837030075e-10 36 40 40 Brain_Nucleus_accumbens_basal_ganglia ENSG00000163634 3 63819546 63849544 3p14.1
BAP1 ENSG00000163930 -4.70067039151727 -0.179320057524302 2.59308779577907e-06 0.0196329281653261 0.0188287521245052 0.0497696805467209 0.152394997251384 9 9 9 Brain_Cortex ENSG00000163930 3 52435024 52444024 3p21.1
DNAH1 ENSG00000114841 -4.67456462660195 -0.122828883822168 2.9457786488324e-06 0.0427063500351554 0.0647569791552166 0.000972382037379154 0.00773697312391877 5 6 6 Brain_Hippocampus ENSG00000114841 3 52350335 52434507 3p21.1
